"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","original_id","gene_biotype","external_gene_name","entrezgene_id"
"2803","ENSMUSG00000021277",4.1946155497268,18.0849488806567,4.92549655581542,3.66967039278832,0.00024286341138639,0.00269426910492179,"ENSMUSG00000021277.16","protein_coding","Traf3",22031
"17759","ENSMUSG00000074682",2.09636105969538,18.0452394788455,4.89045433985141,3.68784538726385,0.000226160996130908,0.00253198500795495,"ENSMUSG00000074682.4","protein_coding","Zcchc3",67917
"15038","ENSMUSG00000058793",4.48791680891158,17.9968710521232,4.9233454643307,3.65338389971551,0.000258806838298621,0.00284063508909863,"ENSMUSG00000058793.14","protein_coding","Cds2",110911
"29616","ENSMUSG00000109122",1.655229442397,17.9852089726894,4.93640724634917,3.64135454707133,0.000271207337090317,0.0029502173590813,"ENSMUSG00000109122.1","TEC","A230103L15Rik",NA
"31566","ENSMUSG00000113020",1.655229442397,17.9852089726894,4.93640724634917,3.64135454707133,0.000271207337090317,0.0029502173590813,"ENSMUSG00000113020.1","TEC","Gm48063",NA
"1399","ENSMUSG00000014782",1.92644785695163,17.9689986586079,4.98875326743999,3.59989714781458,0.000318343074522253,0.00337280406134858,"ENSMUSG00000014782.16","protein_coding","Plekhg4",102075
"25937","ENSMUSG00000101257",1.92644785695163,17.9689986586079,4.98875326743999,3.59989714781458,0.000318343074522253,0.00337280406134858,"ENSMUSG00000101257.1","lncRNA","2310015K22Rik",NA
"3099","ENSMUSG00000021901",2.89169611453349,17.9479401720047,4.503589949452,3.98303139791566,6.80417621125161e-05,0.000907381155321727,"ENSMUSG00000021901.10","protein_coding","Bap1",104416
"14096","ENSMUSG00000053391",3.30605728202678,17.8985080705946,4.93202670047089,3.62700957577676,0.00028672266464684,0.00308649191466326,"ENSMUSG00000053391.5","protein_coding","Olfr211",258914
"3419","ENSMUSG00000022454",3.54310041223938,17.8852565661147,3.93514067787246,4.54246951490919,5.55990387640101e-06,0.00010170178643984,"ENSMUSG00000022454.17","protein_coding","Nell2",54003
"22923","ENSMUSG00000091631",3.85876040469672,17.8829669030434,4.92546281324881,3.62868781690272,0.000284865467264134,0.00307135661717019,"ENSMUSG00000091631.2","protein_coding","Vmn2r95",328759
"3822","ENSMUSG00000023348",1.92454383142213,17.8428785376723,4.9319387702498,3.615794795597,0.000299427505406939,0.0032039936016811,"ENSMUSG00000023348.11","protein_coding","Trip6",22051
"341","ENSMUSG00000002007",1.97913547628305,17.696423996417,4.93296671094822,3.58535239193156,0.000336623356976522,0.00352614279316515,"ENSMUSG00000002007.5","protein_coding","Srpk3",56504
"31686","ENSMUSG00000113270",1.67360448541432,17.6598753623748,4.93375586743157,3.57737104076918,0.00034706735184642,0.00362356018793216,"ENSMUSG00000113270.1","processed_pseudogene","Gm48235",NA
"8719","ENSMUSG00000033685",1.98468019273582,17.6054597037777,4.95713205122403,3.54952410425157,0.00038592813184338,0.00395922756495397,"ENSMUSG00000033685.13","protein_coding","Ucp2",22228
"12372","ENSMUSG00000045498",2.65826750351617,17.6018335520714,4.10466369559526,4.28581605137329,1.82069598016094e-05,0.00028866737092776,"ENSMUSG00000045498.1","protein_coding","Pcdhb3",93874
"17003","ENSMUSG00000070821",2.84215529228583,17.5448285913887,3.24655797237078,5.40105204977564,6.62511976229906e-08,2.08601953781745e-06,"ENSMUSG00000070821.6","protein_coding","Olfr1340",258301
"7067","ENSMUSG00000030017",2.54218079769742,17.4928135819726,4.93336432736529,3.54379129978212,0.000394417327039804,0.00403552783605145,"ENSMUSG00000030017.2","protein_coding","Reg3g",19695
"9290","ENSMUSG00000035401",5.95409665313071,17.4820122447349,3.09215347279714,5.65043501185917,1.6004230537103e-08,5.80083162976398e-07,"ENSMUSG00000035401.9","protein_coding","Emsy",233545
"16605","ENSMUSG00000068180",2.85372453982495,17.4274103069942,3.44296615990948,5.0588386577265,4.21817573503009e-07,1.07081062279242e-05,"ENSMUSG00000068180.13","lncRNA","AY512915",NA
"31334","ENSMUSG00000112569",2.49240203836291,17.4111145119041,4.93029099126882,3.52942950887081,0.000416456633517968,0.00423040554577367,"ENSMUSG00000112569.1","lncRNA","Gm33111",NA
"34210","ENSMUSG00000118465",3.34490960365545,17.3491632955057,2.9907085704828,5.79767733527664,6.72396636925237e-09,2.59471679231868e-07,"ENSMUSG00000118465.1","protein_coding","CT867961.1",100040448
"19960","ENSMUSG00000083580",2.15370348272091,17.2912749221565,4.89764487870951,3.52848672170571,0.000417942914387934,0.00424389822103257,"ENSMUSG00000083580.1","processed_pseudogene","Rpsa-ps3",NA
"12264","ENSMUSG00000045053",3.61470831947161,17.2605689588068,3.81296561124015,4.52418687122543,6.06281396480917e-06,0.000110023687477598,"ENSMUSG00000045053.2","protein_coding","Kcng3",225030
"25890","ENSMUSG00000101061",1.99067140681261,17.2435025189052,4.94373745361853,3.48592591750424,0.000490436803632693,0.00484410274151423,"ENSMUSG00000101061.1","lncRNA","Platr1",NA
"1574","ENSMUSG00000016327",3.72928189111387,17.2387950558714,3.63157580184851,4.74416506660875,2.09368076703669e-06,4.35907581713733e-05,"ENSMUSG00000016327.9","protein_coding","Atp1b4",67821
"9860","ENSMUSG00000037296",2.96934564550399,17.2154505267629,3.43478847286505,5.00917324682045,5.46643494176024e-07,1.35191077040328e-05,"ENSMUSG00000037296.7","protein_coding","Lsm1",67207
"31307","ENSMUSG00000112516",2.55139740403703,17.1830670535911,4.13955250857631,4.14853224304123,3.34613724359717e-05,0.000490024831453287,"ENSMUSG00000112516.1","processed_pseudogene","Gm47968",NA
"26645","ENSMUSG00000103101",2.54727430376373,17.1798249794664,4.80866457113684,3.57060151014176,0.000356162391859601,0.00370624158100161,"ENSMUSG00000103101.1","TEC","Gm37048",NA
"12997","ENSMUSG00000048163",1.85306798845893,17.1767033604615,4.94425854843172,3.47204807198172,0.000516503838711859,0.00506213264619062,"ENSMUSG00000048163.13","protein_coding","Selplg",20345
"25872","ENSMUSG00000101000",2.23830274947727,17.1211246951996,4.84391267686756,3.53250065322501,0.000411649209097077,0.00418949392115547,"ENSMUSG00000101000.1","processed_pseudogene","Gm5371",NA
"17872","ENSMUSG00000075081",2.03396382948087,17.1177397400303,4.98509351612119,3.43177909997192,0.000599635766149556,0.00572114295106387,"ENSMUSG00000075081.6","protein_coding","Olfr1247",258968
"11140","ENSMUSG00000040795",2.68339260175248,17.0585048068745,3.23270042431784,5.27376575900071,1.33652477116085e-07,3.85568016152933e-06,"ENSMUSG00000040795.12","protein_coding","Iqcc",230767
"27625","ENSMUSG00000105071",1.71546457010524,17.0246215961752,4.94487272551269,3.4408613812019,0.000579865520275144,0.00557809030929434,"ENSMUSG00000105071.1","TEC","Gm43336",NA
"27560","ENSMUSG00000104935",2.05037014293321,17.0174913922573,4.1481146304131,4.10005337546893,4.13054861020375e-05,0.00058697499773996,"ENSMUSG00000104935.1","TEC","Gm43414",NA
"27057","ENSMUSG00000103952",2.15735921729355,17.0072203258615,4.98126789991444,3.41222770334304,0.000644342654129946,0.00602987979255125,"ENSMUSG00000103952.1","TEC","Gm37268",NA
"13113","ENSMUSG00000048693",1.70418787505019,16.9983636773412,4.39624184315054,3.86429233956033,0.000111411725578513,0.00137766856610852,"ENSMUSG00000048693.5","protein_coding","Olfr435",258647
"16937","ENSMUSG00000070520",2.32856486656843,16.9635459522568,4.93983143524301,3.43200900162352,0.000599127671789825,0.00571832658455263,"ENSMUSG00000070520.4","protein_coding","Nsmce3",66647
"11227","ENSMUSG00000041115",2.35087307712063,16.9444081467082,3.24397861080939,5.22025887910616,1.78673194752854e-07,4.9780131376267e-06,"ENSMUSG00000041115.16","protein_coding","Iqsec2",245666
"20457","ENSMUSG00000084910",2.11306374092809,16.8703605606034,4.97759615878965,3.38724959252282,0.000705971301169206,0.00650887091726721,"ENSMUSG00000084910.1","lncRNA","C630043F03Rik",NA
"1257","ENSMUSG00000011463",1.85925721199529,16.8639077146555,4.93537490280677,3.41491944311477,0.000638008776602578,0.00598729550034663,"ENSMUSG00000011463.5","protein_coding","Cpb1",76703
"34056","ENSMUSG00000118174",1.74454896223248,16.7681888747192,4.98263191277294,3.3633206642778,0.000770108538290243,0.00699005580310894,"ENSMUSG00000118174.1","processed_pseudogene","Gm3188",NA
"2172","ENSMUSG00000020159",2.50308085761463,16.7322466168222,4.98648505596666,3.35351383371998,0.000797924250419435,0.00719390718958213,"ENSMUSG00000020159.8","protein_coding","Gabrp",216643
"25880","ENSMUSG00000101023",1.85271487536166,16.7304241433016,4.93486324651302,3.38822441637391,0.000703466811858792,0.00649268440993245,"ENSMUSG00000101023.1","processed_pseudogene","Gm21152",NA
"8463","ENSMUSG00000032812",1.77611287842795,16.7220827423053,4.97880910418313,3.35664260119233,0.000788950242990558,0.00712016990129046,"ENSMUSG00000032812.18","protein_coding","Arap1",69710
"12820","ENSMUSG00000047446",1.81317411486069,16.6922439207257,4.93809156186626,3.37827756162968,0.000729414168963255,0.00669306653570725,"ENSMUSG00000047446.18","protein_coding","Arl4a",11861
"18581","ENSMUSG00000079029",1.90648205684892,16.6706784427745,4.93509628268717,3.37595813504629,0.000735591113703813,0.00674283485728908,"ENSMUSG00000079029.2","protein_coding","Gm5662",435337
"27514","ENSMUSG00000104851",2.30661675170737,16.6658633596529,3.95787379467641,4.20828561589206,2.57315496499381e-05,0.000390671543526308,"ENSMUSG00000104851.1","TEC","E030026E10Rik",NA
"29793","ENSMUSG00000109469",1.64172941882074,16.6578044943829,4.94394436587964,3.3673122637214,0.000759046875326099,0.00690598949102587,"ENSMUSG00000109469.1","unprocessed_pseudogene","Gm8486",NA
"23560","ENSMUSG00000094187",1.87543145362899,16.6154893475055,4.19378982475079,3.95954257161474,7.5093457962e-05,0.000986612004232134,"ENSMUSG00000094187.1","protein_coding","Vmn1r170",546944
"3686","ENSMUSG00000022913",2.05189179016422,16.5978343354302,4.97800348093983,3.33222634313998,0.00086154154873476,0.0076645521417417,"ENSMUSG00000022913.16","protein_coding","Psmg1",56088
"24202","ENSMUSG00000096405",1.63815634697699,16.5823537011898,4.93660201567945,3.35703661112508,0.000787826799221013,0.00711406188143625,"ENSMUSG00000096405.3","protein_coding","4930474N05Rik",218921
"25607","ENSMUSG00000099936",1.59147679073755,16.5286720651466,3.66930879079102,4.50184844257425,6.73650130309289e-06,0.000119899901920788,"ENSMUSG00000099936.1","lncRNA","Gm28867",NA
"3193","ENSMUSG00000022052",1.83321713941827,16.4881164685063,4.37231873239147,3.76873633352285,0.000164076090867019,0.00194472888283601,"ENSMUSG00000022052.9","protein_coding","Ppp2r2a",71978
"27418","ENSMUSG00000104661",2.34770837299201,16.4024569024227,3.8709544814791,4.23473253970147,2.28823888720581e-05,0.000352551983476652,"ENSMUSG00000104661.1","TEC","Gm42768",NA
"30768","ENSMUSG00000111435",1.7606441252867,16.3971455117618,4.37104926352173,3.74901871926256,0.000177527835750458,0.00207486623698251,"ENSMUSG00000111435.1","lncRNA","Gm47358",NA
"7610","ENSMUSG00000031167",1.82880049775937,16.3888158040861,4.32313616433506,3.7886421295743,0.000151472926352082,0.0018097241352154,"ENSMUSG00000031167.16","protein_coding","Rbm3",19652
"19209","ENSMUSG00000081649",1.56807952498157,16.3836676013906,4.98601229532016,3.28392042208937,0.00102373824589846,0.00886096094371277,"ENSMUSG00000081649.2","protein_coding","Olfr213",258020
"19688","ENSMUSG00000082843",1.96677318452453,16.2790986075386,4.05554275394307,4.01157122353616,6.03159741863187e-05,0.00081692709767834,"ENSMUSG00000082843.2","transcribed_processed_pseudogene","4930448K20Rik",NA
"13299","ENSMUSG00000049551",2.24233720187901,16.2708784719324,4.98383576013198,3.26272358371251,0.00110347091111557,0.00940857832721965,"ENSMUSG00000049551.2","protein_coding","Fzd9",14371
"14427","ENSMUSG00000055313",1.67953075849607,16.2414620798943,4.94063740079921,3.28529717183225,0.00101874861126529,0.00882346023907228,"ENSMUSG00000055313.14","protein_coding","Pgbd1",319207
"27928","ENSMUSG00000105679",1.57021373120436,15.9315895898487,4.63337746273651,3.43628157168211,0.000589757693826056,0.0056460765817075,"ENSMUSG00000105679.1","TEC","Gm43338",NA
"25657","ENSMUSG00000100129",1.71023664983975,15.8745533874558,3.78907826339397,4.18691625895464,2.82770094150406e-05,0.00042475610675009,"ENSMUSG00000100129.1","lncRNA","Gm29064",NA
"23942","ENSMUSG00000095526",1.69983261089767,15.2773044001582,3.83027873535867,3.98595127274166,6.72103050682487e-05,0.000898076802747773,"ENSMUSG00000095526.2","processed_pseudogene","Gm10243",NA
"27825","ENSMUSG00000105469",2.187533006149,15.0060206196012,3.10626046820077,4.82767648531655,1.38135255399035e-06,3.05856281080568e-05,"ENSMUSG00000105469.1","TEC","A930036I15Rik",NA
"20367","ENSMUSG00000084750",98.1390227352897,11.2979317856868,4.1402487499312,2.7263897575899,0.00640313383574351,0.0393987098649254,"ENSMUSG00000084750.1","misc_RNA","Gm22453",NA
"28709","ENSMUSG00000107277",178.134530204351,9.87168169525682,1.42439570293802,6.92341438191348,4.40885655603603e-12,2.95294437361635e-10,"ENSMUSG00000107277.1","TEC","Gm10461",NA
"21618","ENSMUSG00000087132",51.445940212198,9.57888890597065,4.91733257249004,1.94595113609026,0.0516606095097072,0.185718197056849,"ENSMUSG00000087132.8","lncRNA","A930001C03Rik",NA
"13614","ENSMUSG00000050947",5696.67742112138,8.99036443287488,0.353842323844119,25.3795654949154,4.24027715944978e-142,2.84713409871255e-138,"ENSMUSG00000050947.9","protein_coding","Amigo1",229715
"5437","ENSMUSG00000026925",26.3985052264931,8.73949662795204,1.72469608829228,5.06146948857269,4.16037326669729e-07,1.05813735981966e-05,"ENSMUSG00000026925.16","protein_coding","Inpp5e",64436
"28591","ENSMUSG00000107018",26.1924265423581,8.71333252339035,1.68974823874647,5.15066820241037,2.59560027537192e-07,6.93658031800388e-06,"ENSMUSG00000107018.1","TEC","Gm43694",NA
"13179","ENSMUSG00000049010",12.8780456729341,8.58643942634288,1.85859488688532,4.61447488468857,3.94090424422319e-06,7.52808009895778e-05,"ENSMUSG00000049010.6","protein_coding","Olfr982",258853
"34209","ENSMUSG00000118460",128.939260248889,8.28301068149086,1.13188339208072,7.30906623365395,2.6900515691471e-13,2.20946192795574e-11,"ENSMUSG00000118460.1","unprocessed_pseudogene","AC154102.1",NA
"18765","ENSMUSG00000079620",16.7590876905794,8.25047388868482,2.24569463314503,3.6694543269867,0.000243068758748085,0.00269543382430061,"ENSMUSG00000079620.13","protein_coding","Muc4",140474
"8886","ENSMUSG00000034189",21.3631945992767,8.16416483065932,1.68652275265468,4.83489761275038,1.3321418300738e-06,2.95936023756179e-05,"ENSMUSG00000034189.5","protein_coding","Hsdl1",72552
"4020","ENSMUSG00000024163",11.8630284434741,8.14885100557226,1.94531490780907,4.18382184442247,2.86648783431637e-05,0.000429121991578585,"ENSMUSG00000024163.17","protein_coding","Mapk8ip3",30957
"1451","ENSMUSG00000015312",117.19020623494,8.03432259755533,1.15210126124088,6.96494558899507,3.28530700207494e-12,2.24521057154526e-10,"ENSMUSG00000015312.9","protein_coding","Gadd45b",17873
"28506","ENSMUSG00000106835",22.8046806827368,8.014335896884,3.67237510207562,2.17960738606466,0.0292865768394117,0.124399633204637,"ENSMUSG00000106835.3","transcribed_unprocessed_pseudogene","Gm43812",NA
"9538","ENSMUSG00000036281",17.8982306861319,8.00417982871086,1.70685941422616,4.68356079128825,2.81933786540557e-06,5.69336664579421e-05,"ENSMUSG00000036281.13","protein_coding","Snapc4",227644
"4977","ENSMUSG00000026064",18.9901971886595,8.00286412144626,4.91873063221597,1.62498512707644,0.104165727939771,0.289915349327085,"ENSMUSG00000026064.16","protein_coding","Ptp4a1",19243
"12413","ENSMUSG00000045667",14.4861763209727,7.98714849543185,1.66026166222708,4.80475377882984,1.54942060573947e-06,3.37365301098679e-05,"ENSMUSG00000045667.14","protein_coding","Smtnl2",276829
"18783","ENSMUSG00000079694",18.871949163254,7.98244988327612,4.91877581271832,1.62081993301301,0.105056262279912,0.291547953328567,"ENSMUSG00000079694.2","protein_coding","Gm14862",NA
"30670","ENSMUSG00000111241",26.2150732369496,7.97546579269301,1.62924216028354,4.88906191287535,1.01317629397841e-06,2.31787810082386e-05,"ENSMUSG00000111241.1","unprocessed_pseudogene","Gm19121",NA
"21495","ENSMUSG00000086884",18.0767042673841,7.92876002207073,1.81287353779037,4.36807083174845,1.25348843855154e-05,0.000208717870320008,"ENSMUSG00000086884.1","lncRNA","Gm16225",NA
"11273","ENSMUSG00000041263",14.3879956026715,7.90766597735119,1.74165458629638,4.53457651103226,5.7719176601319e-06,0.00010524247421305,"ENSMUSG00000041263.14","protein_coding","Rusc1",72296
"5728","ENSMUSG00000027490",13.1143053058079,7.88170787672042,1.88219744008377,4.1821903000623,2.88714150515952e-05,0.000431464907556757,"ENSMUSG00000027490.17","protein_coding","E2f1",13555
"12334","ENSMUSG00000045326",15.5914774382757,7.7674851719194,1.75552525334382,4.41889694103995,9.92059374149336e-06,0.000169387989007647,"ENSMUSG00000045326.13","protein_coding","Fndc7",320181
"16455","ENSMUSG00000067150",9.06286325966559,7.74778211497556,2.55476121597671,3.02876921200533,0.00245552188335799,0.0181786263605225,"ENSMUSG00000067150.6","protein_coding","Xpo5",72322
"33227","ENSMUSG00000116617",8.75379317382168,7.74538474974138,1.87809257722406,4.11874517984345,3.80941112808978e-05,0.000546544679905103,"ENSMUSG00000116617.1","lncRNA","Gm49767",NA
"14993","ENSMUSG00000058513",4.01667474894992,7.71967472715634,4.08994191430624,1.88503281677146,0.0594254073499267,0.204281017612227,"ENSMUSG00000058513.7","protein_coding","Olfr801",258282
"13243","ENSMUSG00000049303",66.3946021926709,7.69374733523562,1.20819175837078,6.35970845025214,2.02137047189833e-10,1.03700153817294e-08,"ENSMUSG00000049303.10","protein_coding","Syt12",171180
"26149","ENSMUSG00000102097",77.1399270097732,7.67782814193868,1.21991485085801,6.28554372999528,3.26708180383561e-10,1.61004189151224e-08,"ENSMUSG00000102097.1","lncRNA","A930006L05Rik",NA
"1410","ENSMUSG00000014932",77.8835354123267,7.6604569725701,1.1951187759742,6.40141978050158,1.53938688001958e-10,8.17091953034897e-09,"ENSMUSG00000014932.15","protein_coding","Yes1",22612
"13252","ENSMUSG00000049336",8.92057085160552,7.64915017832704,2.45454685987104,3.11224458706337,0.00185670599931496,0.014350333735137,"ENSMUSG00000049336.16","protein_coding","Tenm2",23964
"20620","ENSMUSG00000085234",14.899488356827,7.63201305666699,4.91934769060516,1.54939506943641,0.121286778311521,0.318334827703591,"ENSMUSG00000085234.1","lncRNA","Gm15614",NA
"2488","ENSMUSG00000020704",3.63418864805021,7.62598229521096,4.18672508835758,1.81907866756989,0.0688994291072192,0.224711702120424,"ENSMUSG00000020704.13","protein_coding","Asic2",11418
"7833","ENSMUSG00000031626",10.9502705592048,7.61526953084244,4.91922869398172,1.54602886020462,0.122097597983199,0.319370596672454,"ENSMUSG00000031626.17","protein_coding","Sorbs2",234214
"13185","ENSMUSG00000049036",12.9698519020658,7.59368011572731,1.71969633560058,4.4098949091956,1.03420796083144e-05,0.000175469092937529,"ENSMUSG00000049036.7","protein_coding","Tmem121",69195
"16071","ENSMUSG00000064664",9.89642804695626,7.56100534970656,2.11080060995826,3.57731815789834,0.000347137551699659,0.00362356018793216,"ENSMUSG00000064664.1","snRNA","Gm24459",NA
"11291","ENSMUSG00000041341",7.38271251055527,7.51962285816266,1.93287385796285,3.88521104324801,0.000102241033490982,0.00128158308652742,"ENSMUSG00000041341.10","protein_coding","Atg2b",76559
"33204","ENSMUSG00000116576",8.34605110372864,7.51447169600389,2.37696728686468,3.15716237975769,0.00159312604102921,0.0126330614732691,"ENSMUSG00000116576.1","lncRNA","Gm49725",NA
"7329","ENSMUSG00000030523",7.05537344950123,7.49787647374249,2.52646760572585,2.96377299941324,0.00303892370604853,0.0216727065579,"ENSMUSG00000030523.18","protein_coding","Trpm1",17364
"649","ENSMUSG00000004356",8.35072985973378,7.44344358224506,2.05052384135037,3.62514369857303,0.000288800820917588,0.00310164781462137,"ENSMUSG00000004356.8","protein_coding","Utp20",70683
"11532","ENSMUSG00000042185",8.66275294888309,7.44204940491644,3.1228435751022,2.3798980724397,0.0173174273895714,0.0840309782889083,"ENSMUSG00000042185.14","protein_coding","Nfrkb",235134
"9195","ENSMUSG00000035121",11.8186887901874,7.44096226579091,1.79284339068442,4.1447916222923,3.40122858361952e-05,0.000495660321751781,"ENSMUSG00000035121.6","protein_coding","Neil2",382913
"7619","ENSMUSG00000031196",7.16432467277715,7.40040182415075,3.21536095186625,2.29846724357999,0.0215352101519886,0.0989720524062475,"ENSMUSG00000031196.13","protein_coding","F8",14069
"28729","ENSMUSG00000107316",10.9796000406242,7.36596603833868,4.92001602995121,1.4951101771942,0.134885690246229,0.339781204321279,"ENSMUSG00000107316.1","processed_pseudogene","Gm42964",NA
"11483","ENSMUSG00000041984",9.9396704770943,7.32595662846993,2.05666211077835,3.55719910924075,0.000374830052610082,0.00386159783390931,"ENSMUSG00000041984.2","protein_coding","Rptn",20129
"4178","ENSMUSG00000024442",6.82089871944769,7.32274805851389,2.14973603672378,3.40169580524808,0.000669691350868076,0.00622588103205773,"ENSMUSG00000024442.6","protein_coding","Dele1",66839
"33106","ENSMUSG00000116270",7.54675470977787,7.31942207861666,2.13911928932009,3.41702405990641,0.000633096842399357,0.0059599421637441,"ENSMUSG00000116270.1","lncRNA","Gm1600",NA
"30986","ENSMUSG00000111908",29.6397232812317,7.31700755683884,1.57991657308161,4.62493253209351,3.74720353371814e-06,7.22486665531959e-05,"ENSMUSG00000111908.1","processed_pseudogene","Gm47516",NA
"15455","ENSMUSG00000061244",7.97546808037327,7.31620348096199,2.59788379048644,2.81236732286395,0.00491783072691677,0.0319813795795474,"ENSMUSG00000061244.14","protein_coding","Exoc5",105504
"6650","ENSMUSG00000029168",8.8088179449235,7.30899422026997,2.24327732335998,3.25371907622083,0.00113904859483095,0.00964456720049484,"ENSMUSG00000029168.14","protein_coding","Dpysl5",65254
"3208","ENSMUSG00000022090",808.898837313447,7.30886476872039,0.423435594500819,17.2372489783834,1.39520056609371e-66,1.5613457001727e-63,"ENSMUSG00000022090.10","protein_coding","Pdlim2",213019
"11447","ENSMUSG00000041845",73.9588494859058,7.29699836596385,1.14397369972024,6.3699002588485,1.89151167822445e-10,9.7696578180293e-09,"ENSMUSG00000041845.11","protein_coding","Rhod",11854
"9216","ENSMUSG00000035181",8.49603349385746,7.290141035962,2.46657450690272,2.95151880293439,0.0031621529276686,0.0223733148923402,"ENSMUSG00000035181.6","protein_coding","Heatr5a",320487
"14422","ENSMUSG00000055254",9.23705260577335,7.28844559382343,3.88601564661991,1.87298411939085,0.0610705779647195,0.207493090354683,"ENSMUSG00000055254.15","protein_coding","Ntrk2",18212
"31895","ENSMUSG00000113684",4.95435026689252,7.25809790903805,2.21125090083107,3.27782700113946,0.00104609486720834,0.00901958778281911,"ENSMUSG00000113684.1","processed_pseudogene","Gm48418",NA
"15224","ENSMUSG00000059854",7.96593786490586,7.24408721796145,3.18909209979897,2.26838454067145,0.0233057791858482,0.105215998123579,"ENSMUSG00000059854.8","protein_coding","Hydin",244653
"2151","ENSMUSG00000020124",6.21760407721064,7.23064192352131,2.4205730748021,2.98302992737026,0.00285410084945374,0.020595228536977,"ENSMUSG00000020124.10","protein_coding","Usp15",14479
"6518","ENSMUSG00000028943",7.04376498897123,7.19917690263606,2.85390683658561,2.51906502709708,0.0117666923630046,0.0629917926022676,"ENSMUSG00000028943.18","protein_coding","Espn",56226
