,Sample,SRR2121770_1,SRR2121770_2,SRR2121771_1,SRR2121771_2,SRR2121774_1,SRR2121774_2,SRR2121775_1,SRR2121775_2,SRR2121778_1,SRR2121778_2,SRR2121779_1,SRR2121779_2,SRR2121780_1,SRR2121780_2,SRR2121781_1,SRR2121781_2,SRR2121786_1,SRR2121786_2,SRR2121787_1,SRR2121787_2,SRR2121788_1,SRR2121788_2,SRR2121789_1,SRR2121789_2
,reverse_only_surviving_pct,4.48,,2.52,,2.53,,2.29,,2.11,,2.44,,2.52,,1.8,,2.59,,2.65,,1.85,,1.77,
,forward_only_surviving,3202267,,5041955,,4667583,,4832339,,9375417,,7916665,,6350522,,3894412,,6944977,,5349296,,3489058,,3797776,
,dropped,7036792,,6973727,,7013028,,7160952,,16166923,,20393774,,14647690,,5067412,,20551506,,13638339,,3962243,,4252397,
,dropped_pct,5.95,,6.76,,7.69,,6.59,,11.82,,16.41,,14.69,,4.76,,20.55,,18.09,,4.79,,4.6,
,forward_only_surviving_pct,2.71,,4.89,,5.12,,4.45,,6.86,,6.37,,6.37,,3.66,,6.95,,7.09,,4.22,,4.11,
,input_read_pairs,118323219,,103127231,,91225885,,108661623,,136766553,,124265478,,99685598,,106360532,,99988292,,75410310,,82750449,,92454136,
,reverse_only_surviving,5304558,,2602136,,2305245,,2489235,,2886942,,3030857,,2514970,,1909747,,2585392,,1995636,,1527656,,1639373,
STAR Alignment,uniquely_mapped_percent,81.73,,82.35,,81.67,,83.1,,83.43,,84.55,,82.48,,86.82,,80.75,,80.27,,80.81,,81.62,
,num_splices,8669080,,8000968,,10613774,,11755566,,10864591,,8361644,,6866296,,7991948,,6183074,,4335214,,7285454,,8581902,
,num_GCAG_splices,90012,,83679,,116149,,124779,,116447,,86763,,74268,,80836,,65893,,44765,,80392,,97422,
,insertion_length,1.11,,1.1,,1.12,,1.17,,1.13,,1.11,,1.11,,1.13,,1.16,,1.15,,1.13,,1.15,
,deletion_length,1.35,,1.33,,1.37,,1.26,,1.36,,1.35,,1.35,,1.4,,1.2,,1.22,,1.3,,1.25,
,unmapped_tooshort_percent,4.08,,4.21,,3.42,,4.09,,3.51,,3.87,,3.66,,3.45,,5.83,,6.42,,5.61,,4.53,
,avg_mapped_read_length,100.73,,101.11,,101.1,,101.14,,100.6,,100.51,,100.51,,100.81,,100.41,,100.33,,101.18,,101.22,
,deletion_rate,0,,0,,0,,0,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
,mismatch_rate,0.23,,0.29,,0.29,,0.17,,0.17,,0.22,,0.22,,0.17,,0.26,,0.28,,0.16,,0.15,
,avg_input_read_length,101,,101,,101,,101,,100,,100,,100,,101,,100,,100,,101,,101,
,num_ATAC_splices,8039,,7497,,10782,,11677,,9722,,7455,,6186,,7544,,5492,,3832,,6602,,7593,
,num_annotated_splices,8581504,,7919864,,10513157,,11643271,,10755797,,8273449,,6799294,,7913548,,6103902,,4260450,,7202217,,8487777,
,num_GTAG_splices,8571029,,7909792,,10486843,,11619110,,10738422,,8267426,,6785842,,7903568,,6111689,,4286617,,7198460,,8476887,
,uniquely_mapped,83997598,,72886249,,63080382,,78265974,,90382084,,78565331,,62830380,,82902461,,56450144,,43685904,,59617353,,67556146,
,multimapped_toomany,1852495,,1405409,,1242903,,1061446,,1736807,,1362362,,1374461,,846193,,1009216,,955877,,703236,,890704,
,unmapped_mismatches,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,unmapped_mismatches_percent,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,total_reads,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,unmapped_other,432340,,370957,,254880,,377196,,476580,,454868,,335571,,468726,,370629,,359051,,317451,,405340,
,insertion_rate,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,unmapped_other_percent,0.42,,0.42,,0.33,,0.4,,0.44,,0.49,,0.44,,0.49,,0.53,,0.66,,0.43,,0.49,
,multimapped_percent,11.96,,11.44,,12.97,,11.27,,11.02,,9.63,,11.61,,8.35,,11.44,,10.9,,12.19,,12.28,
,multimapped,12297290,,10128397,,10020381,,10617654,,11939994,,8949092,,8840667,,7971370,,7999509,,5933625,,8991826,,10165077,
,num_noncanonical_splices,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,unmapped_tooshort,4199879,,3718401,,2641483,,3856827,,3801806,,3592529,,2791337,,3300211,,4076919,,3492582,,4141626,,3747323,
,multimapped_toomany_percent,1.8,,1.59,,1.61,,1.13,,1.6,,1.47,,1.8,,0.89,,1.44,,1.76,,0.95,,1.08,
PhiX Contamination,overall_alignment_rate,0.11,,0.13,,0.18,,0.2,,0.12,,0.12,,0.1,,0.15,,0.18,,0.16,,0.2,,0.2,
,paired_aligned_mate_multi_halved,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,paired_aligned_none,102674701,,88400163,,77108986,,93998943,,108212089,,92820803,,76103405,,95350795,,69784944,,54344793,,73629819,,82605166,
,paired_aligned_mate_multi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,paired_aligned_discord_one,5081,,5514,,6603,,9196,,6325,,5222,,3475,,7190,,6424,,4218,,7405,,8139,
,paired_aligned_mate_one,2761,,2466,,2825,,3974,,2693,,2277,,1515,,2999,,2696,,1961,,2913,,3585,
,paired_total,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,paired_aligned_mate_none_halved,102668239.5,,88393416,,77100970.5,,93987760,,108204417.5,,92814442.5,,76099172.5,,95342105.5,,69777172,,54339594.5,,73620957.5,,82595234.5,
,paired_aligned_multi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,paired_aligned_one,104901,,109250,,131043,,180154,,125182,,103379,,69011,,138166,,121473,,82246,,141673,,159424,
,total_reads,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,paired_aligned_mate_one_halved,1380.5,,1233,,1412.5,,1987,,1346.5,,1138.5,,757.5,,1499.5,,1348,,980.5,,1456.5,,1792.5,
,paired_aligned_mate_none,205336479,,176786832,,154201941,,187975520,,216408835,,185628885,,152198345,,190684211,,139554344,,108679189,,147241915,,165190469,
rRNA Contamination,mapped_passed,4265172,,3371478,,1366577,,4031209,,5947728,,5093417,,4109793,,5042021,,7103552,,4879843,,5080844,,7013490,
,duplicates_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,secondary_passed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,paired in sequencing_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,duplicates_passed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,read2_passed,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,read1_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,read1_passed,102779602,,88509413,,77240029,,94179097,,108337271,,92924182,,76172416,,95488961,,69906417,,54427039,,73771492,,82764590,
,with mate mapped to a different chr_passed,4240,,3672,,692,,2742,,7850,,5990,,4782,,5840,,5348,,2434,,2250,,3646,
,total_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,properly paired_passed_pct,2.02,,1.84,,0.86,,2.07,,2.7,,2.69,,2.65,,2.59,,4.98,,4.39,,3.36,,4.15,
,singletons_passed,77493,,85229,,21005,,88202,,48177,,47851,,41299,,53429,,60929,,55645,,58038,,57600,
,supplementary_passed,85,,65,,16,,23,,43,,44,,44,,72,,19,,18,,58,,50,
,singletons_passed_pct,0.04,,0.05,,0.01,,0.05,,0.02,,0.03,,0.03,,0.03,,0.04,,0.05,,0.04,,0.03,
,mapped_failed_pct,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
,mapped_passed_pct,2.07,,1.9,,0.88,,2.14,,2.75,,2.74,,2.7,,2.64,,5.08,,4.48,,3.44,,4.24,
,supplementary_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,with itself and mate mapped_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,mapped_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,total_passed,205559289,,177018891,,154480074,,188358217,,216674585,,185848408,,152344876,,190977994,,139812853,,108854096,,147543042,,165529230,
,properly paired_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,flagstat_total,205559289,,177018891,,154480074,,188358217,,216674585,,185848408,,152344876,,190977994,,139812853,,108854096,,147543042,,165529230,
,with mate mapped to a different chr (mapQ >= 5)_passed,1026,,854,,118,,442,,1093,,940,,801,,1206,,964,,487,,823,,951,
,properly paired_failed_pct,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
,with mate mapped to a different chr (mapQ >= 5)_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,with itself and mate mapped_passed,4187594,,3286184,,1345556,,3942984,,5899508,,5045522,,4068450,,4988520,,7042604,,4824180,,5022748,,6955840,
,read2_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,with mate mapped to a different chr_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,properly paired_passed,4151444,,3256926,,1334312,,3903816,,5846848,,5001956,,4035832,,4945218,,6955726,,4775228,,4958480,,6869584,
,paired in sequencing_passed,205559204,,177018826,,154480058,,188358194,,216674542,,185848364,,152344832,,190977922,,139812834,,108854078,,147542984,,165529180,
,singletons_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,secondary_failed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,singletons_failed_pct,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,
Feature Counts,Unassigned_Ambiguity,5553184,,4245795,,4120211,,4873854,,5225069,,4143370,,3730746,,3744259,,3208052,,2154031,,3756137,,4158307,
,Unassigned_MappingQuality,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,percent_assigned,38.92490502,,41.43212911,,45.0933741,,46.82554793,,45.79057473,,42.0896936,,43.45341423,,41.01237187,,46.15918368,,44.71355742,,45.65729376,,46.21716065,
,Unassigned_Nonjunction,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_Duplicate,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_Chimera,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_Unmapped,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Assigned,92630635,,83632332,,81770639,,99643999,,112432428,,87231124,,76094464,,86121025,,71761506,,53877618,,75554738,,86661345,
,Unassigned_MultiMapping,69977472,,56081314,,55175498,,56266414,,64772012,,50119894,,49456582,,44182994,,42564996,,33123230,,46247590,,52396728,
,Unassigned_Overlapping_Length,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_Secondary,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_FragmentLength,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,Unassigned_NoFeatures,69811377,,57894371,,40269914,,52014095,,63106671,,65756168,,45835550,,75939638,,37930730,,31340159,,39923831,,44292640,
,Total,237972668,,201853812,,181336262,,212798362,,245536180,,207250556,,175117342,,209987916,,155465284,,120495038,,165482296,,187509020,
